ID,NPC,CODIGO,ORIGINAL,TIPO DECOMPONENTE,TIPO DE COMPONENTE GENERAL,MARCA,MARCA REFACCION,PROVEEDOR,DESCRIPCION,PRECIODE LISTA
284,05046C,BECFD003,2715FDBEC165,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,COUGAR%%% THUNDERBIRD 89-97 Y [SC] 85-88%%% WINDSTAR 95-97 MARQUIS 1992,328.88
285,05042C,BECFD004,2715FDBEC161,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,PICK UP'S%%% VAN'S 97-03%%% EXPLORER 95-02%%% RANGER 1998 GD MARQUIS 93-96,332.2
286,05043C,BECFD005,2715FDBEC162,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,VAN'S 97-03%%% EXPLORER 95-00%%% RANGER 98-01 GD MARQUIS 98-04,314.87
287,07132C,BECFD006,82207707132,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FOCUS 00-04%%% COURIER%%%FIESTA IKON%%%MONDEO 01-04%%%WINDSTAR 98-03%%%MUSTANG 98-04,324.27
288,10360C,BECFD007,82207710360,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150-350%%% E150-350 L6%%% V8 86-91 BOMBA INTERNA,289.47
289,05050C,BECFD008,2715FDBEC480,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,RANGER 85-88 SERIES F 85-89 SERIES E VAN 86-91 BOMBA EXTERNA,693.87
290,10865C,BECFD009,82207710865,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,SABLE%%% TAURUS%%% WINDSTAR 3.8L V6 97-03,260.65
291,05049C,BECFD010,2715FDBEC381,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,AEROSTAR%%% EXPLORER%%% RANGER%%% B2300 89-97; P74112%%% E2001,384.73
292,12377C,BECFD011,82207712377,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,VAN'S 97-03%%% EXPLORER 95-00%%% RANGER 98-01 GD MARQUIS 98-04 OEM,265.19
293,07393C,BECFD012,82207707393,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FOCUS 00-04%%% COURIER%%%FIESTA IKON%%%MONDEO 01-04%%%WINDSTAR 98-03%%%MUSTANG 98-04,298.29
294,07131C,BECFD013,82207707131,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,TOPAZ %%% GHIA L4%%% V6 88-94 ESCORT%%%TRACER 94-97,413.84
295,12963C,BECFD014,82207712963,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,PICK UP´S SERIES F 04-08 SERIES VAN 04-08,313.21
296,05045C,BECFD015,2715FDBEC164,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,GRAND MARQUIS%%% CONTINENTAL%%% TOWN CAR 80-91 BOMBA EXTERNA,678.63
297,07130C,BECFD016,82207707130,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,VAN'S 97-03%%% EXPLORER 95-00%%% RANGER 98-01 GD MARQUIS 98-04 TIPO WALBRO,323.28
298,07129C,BECFD017,82207707129,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,CONTOUR%%% MYSTIQUE 2.0L%%% 2.5L 99-00 MUSTANG 3.8L 1998. P/MOD. CON BARRAS,434.27
299,BECFD018C,34585,,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,ECOSPORT%%% FIESTA%%% IKON 2.0L 01-09 CON VALVULA INFERIOR,370.97
300,05054C,BECGM001,2715GMBEC171,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CENTURY%%% CAMARO V6 84-92%%% CAVALIER%%% CUTLASS%%%CELEBRITY V6 85-89 S10 2.2L 94-95,312.85
301,07398C,BECGM002,82207707398,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CAVALIER%%% SUNFIRE%%% MALIBU%%% S10 95-99 CON RETORNO SITEMA CON REGULADOR,383.53
302,06723C,BECGM003,2715GMBEC190,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,ASTRO%%% BLAZER%%% C1500-3500 L4%%% V6%%% V8 SISTEMA TBI 85-99; P74167,351.2
303,06728C,BECGM004,2715GMBEC563,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SILVERADO V6%%%V8 98-03 SUBURBAN%%%YUKON 5.3L%%%6.0L 02-03 VORTEC SIST. DELPHI,574.82
304,06725C,BECGM005,2715GMBEC375,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,PICK UPS 96-97%%% ASTRO%%%SAFARI%%%S10 4.3L 93-95 KODIAK 01-07 VORTEC SIT. DELPHI,402.7
305,05055C,BECGM006,2715GMBEC172,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,ASTRO%%% BLAZER%%% C1500-3500 L4%%% V6%%% V8 SISTEMA TBI 85-99 BGV00386,368.24
306,11565C,BECGM007,82207711565,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CAVALIER%%% MALIBU%%% SUNFIRE%%% GRAND AM%%% S-10 00-04%%% SILVERADO 00-01 SIST. VDO,409.12
307,07389C,BECGM008,82207707389,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CHEVY POP%%% SWING%%% MONZA 97-01; KEM 128E%%% BOSCH 509,285.54
308,10362C,BECGM009,82207710362,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,VENTURE%%%SILHOUETTE 3.4L 97-01,455.25
309,05053C,BECGM010,2715GMBEC170,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CELEBRITY 2.8L%%% 85-86 PICKUP 6.0L %%% 7.0L 88-89,329.88
310,10361C,BECGM011,82207710361,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CHEVY TBI 1.4L%%%1.6L (SISTEMA DELPHI) 94-01; P08CK,302.96
311,11563C,BECGM012,82207711563,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,ASTRA%%%ZAFIRA 1.8L 00-05,325.15
312,13847C,BECGM013,82207713847,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SILVERADO 1500%%% SIERRA 5.3L 04-07 (VORTEC); MU1314,1236.36
313,06726C,BECGM014,2715GMBEC461,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CAVALIER%%%SUNBIRD 92-94 GRAND AM 92-95,360.16
314,06727C,BECGM015,2715GMBEC515,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CENTURY%%% CUTLASS 94-96 BONNEVILLE 3.1L 94-99,561.07
315,05052C,BECGM016,2715GMBEC169,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CAMARO%%%TRANS-AM%%% FIREBIRD 85-92; P74131,339.3
316,05056C,BECGM017,2715GMBEC468,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,GRAND PRIX%%%TRANSPORT 90-96 CUTLASS 3.1L 90-97 BUICK REGAL 89-96,336.86
317,BECGM019C,37323,,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TAHOE YUKON 5.3L 02-04,556.14
318,37324C,BECGM020,,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,GM ASTRA%%% ZAFIRA 1.8L 00-05,344.22
319,38336C,BECGM021,,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,GMC SILVERADO 1500 SIERRA 4.8-5.3-6.0L 04-07,921.21
320,39308C,BECGM022,,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,MALIBU COLORADO UPLANDER MONTANA 04-08,622.79
321,39718C,BECGM023,,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,REPUESTO BOMBA CON BOTE FORD ECOSPORT FIESTA IKON 2.0L 01-09,326.98
322,39716C,BECGM024,,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SILVERADO SIERRA 1500 2500 08-12 MEDIO ENSAMBLE,755.07
323,39717C,BECGM025,,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SUBURBAN YUKON ESCALADE 04-07 MEDIO ENSAMBLE,657.97
324,39719C,BECGM026,Para BEMGM062,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TAHOE YUKON ESCALADE 04-07,443.27
325,05059C,BECHO001,2715HOBEC603,BOMBA-REPUESTO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,ACCORD%%% CIVIC%%% CRX%%% TOYOTA%%% MAZDA%%% ISUZU 85-93; P17,490.71
326,10363C,BECHO002,82207710363,BOMBA-REPUESTO,BOMBA DE GASOLINA,HONDA,INJETECH,CIOSA,ACCORD 94-02 CIVIC 96-02 PASSPORT 94-97 CR-V 97-99,287.21
327,39722C,BECMB001,,BOMBA-REPUESTO,BOMBA DE GASOLINA,MERCEDES,INJETECH,CIOSA,CHRYSLER CROSSFIRE V6 3.2L 04-08%%% MERCEDEZ C%%% CL%%% CLK%%% E%%% G%%% S%%% SLK,842.91
328,07388C,BECNS001,82207707388,BOMBA-REPUESTO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,SENTRA%%% MAXIMA 95-00 TSURU%%% TSUBAME 95-10 ALTIMA 96-00 FRONTIER 98-04 OEM,459.59
329,06731C,BECNS002,2715NSBEC178,BOMBA-REPUESTO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,TSURU 1.6L 91-94,398.73
330,10074C,BECNS003,82207710074,BOMBA-REPUESTO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,SENTRA%%% MAXIMA 95-00 TSURU%%% TSUBAME 95-10 ALTIMA 96-00 FRONTIER 98-04,292.08
331,06730C,BECNS004,2715NSBEC177,BOMBA-REPUESTO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,PICK UP 2.4L%%% 3.0L D21 86-97,611.75
332,11783C,BECNS005,82207711783,BOMBA-REPUESTO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,PLATINA%%% RENAULT CLIO%%% KANGOO 02-06 PEUGEOT 98-06,379.59
333,06732C,BECNS006,2715NSBEC179,BOMBA-REPUESTO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,TSURU 1.6L 92 CARBURADO,232.92
334,07339C,BECNS007,82207707339,BOMBA-REPUESTO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,PICK UP 2.4L%%% 3.0L KING CAB 86-97AMERICANAS TIPO WALBRO,1910.97
335,06734C,BECNS008,2715NSBEC387,BOMBA-REPUESTO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,MAXIMA 00-03 INFINITY 00-04,346.87
336,BECNS010C,20310,,BOMBA-REPUESTO,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,PICK UP D21 2.4L 88-95 HECHA EN JAPON,578.93
337,36850C,BECSA001,,BOMBA-REPUESTO,BOMBA DE GASOLINA,SATURN,INJETECH,CIOSA,SATURN 4CIL 1.9L 91-96,660.99
338,38337C,BECTO001,,BOMBA-REPUESTO,BOMBA DE GASOLINA,TOYOTA,INJETECH,CIOSA,COROLLA MATRIX 1.8L 05-08 YARIS 05-06 ,460.82
339,38338C,BECTO002,,BOMBA-REPUESTO,BOMBA DE GASOLINA,TOYOTA,INJETECH,CIOSA,COROLLA MATRIX 1.8L 2.4L 2009 EN ADEL,438.78
340,37380C,BECAU001,,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,A4 95-00 A6 94-97 CABRIOLET 93-98 COUPE 90-91,434.27
341,37381C,BECAU002,,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,A4 A6 (4B C5) AVANT 97-05 VW PASSAT 96-00,695.43
342,06737C,BECVW001,2715VWBEC175,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,SEDAN 1.6L 93-03,685.79
343,06739C,BECVW002,2715VWBEC432,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,JETTA%%% GOLF%%% A4 99-04,481.38
344,11561C,BECVW003,82207711561,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,COMBI%%% GOLF%%% JETTA%%% PASSAT%%% EUROVAN 93-99,410.3
345,06736C,BECVW004,2715VWBEC174,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,JETTA A2 85-92 PASSAT 90-93 INTERNA,246.29
346,11564C,BECVW005,82207711564,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,POINTER 1.8LT%%% 2.0LT 98-04 SISTEMA BOSCH,368.33
347,06735C,BECVW006,2715VWBEC173,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,"JETTA A2 1.8L 85-92 PASSAT 90-93 EXTERNA 2"" DIAMETRO",642.16
348,07387C,BECVW007,82207707387,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,"JETTA Y GOLF 1.8L%%% 2.0L 87-92%%% PASSAT 2.0L 90-93 EXTERNA 2 3/8"" DIAMETRO",873.91
349,BECVW008C,36819,,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,POINTER GOL 99-07 SISTEMA MARWALL CHEVY PICKUP 00-04,400.41
350,37382C,BECVW010,,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,VW BORA GOLF A4 LUPO BEETLE BORA 98-05,705.43
351,39861C,BECVW011,,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,BORA 2.0L 06-09 JETTA 2.0L 11-13,734.83
352,39860C,BECVW012,,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW-AUDI-SEAT,INJETECH,CIOSA,VOLKSWAGEN BORA 2.5L 07-10 JETTA 2.5L 11-13,727.54
353,08917C,BECUN001,82207708917,BOMBA-REPUESTO,BOMBA DE GASOLINA,UNIVERSAL,INJETECH,CIOSA,CUADRADA,246.47
354,05062C,BECUN002,2715UNBEC185,BOMBA-REPUESTO,BOMBA DE GASOLINA,UNIVERSAL,INJETECH,CIOSA,TIPO FILTRO,288.13
355,05061C,BECUN003,2715UNBEC184,BOMBA-REPUESTO,BOMBA DE GASOLINA,UNIVERSAL,INJETECH,CIOSA,ASIATICOS 85-93,457.83
356,12717C,BECUN005,82207712717,BOMBA-REPUESTO,BOMBA DE GASOLINA,UNIVERSAL,INJETECH,CIOSA,TRANSFERENCIA DE DIESEL,2263.23
357,11786C,BECUN006,82207711786,BOMBA-REPUESTO,BOMBA DE GASOLINA,UNIVERSAL,INJETECH,CIOSA,[GAS LP]%%% GMC%%% CHRYSLER%%% VARIOS; 271173%%%26003-1,1795.29
358,BECUN007C,36065,,BOMBA-REPUESTO,BOMBA DE GASOLINA,UNIVERSAL,INJETECH,CIOSA,TIPO FILTRO,291.3
359,40640C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,TOYOTA,INJETECH,CIOSA,BOMBA REPUESTO TOYOTA CAMRY 2.4L 07-09 Y 2.5L 10-11                                                 ,385.59
360,40650C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA REPUESTO GM Chevy 94 1.4L Ver. Opel,358.31
361,41047C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,FIAT,INJETECH,CIOSA,BOMBA FIAT%%% PEUGEOT                                         ,559.02
362,41313C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA FORD F250%%% F350%%% F450%%% F550 SD 6.4L 08-10             ,1820.86
363,41714C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA REP GM CAMARO 3.6L 10-14,979.77
364,41716C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA REP GM TRAX 10-14 TIPO BOSCH,790.13
365,41717C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA REP GM SONIC 1.4 1.8L 12-14,1031.69
366,41718C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA REP GM TRAX 1.8L 13-15,983.72
367,41719C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA REP GM CAPTIVA SPORT L4 V6 12-15,1011.37
368,41720C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA REP GM TRAX 1.4L TURBO 2013,1006.42
369,41721C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,BOMBA REP GM EQUINOX TERRAIN V6 11-14,790.13
370,38469C,,,FLOTADOR,BOMBA DE GASOLINA,,INJETECH,CIOSA,RESISTENCIA FLOTADOR PARA MODULO DE COMBUSTIBLE TIPO MU86,140.02
371,39213C,,,FLOTADOR,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,FLOTADOR PARA MODULO DE BOMBA GM MU109,154.49
372,39214C,,,FLOTADOR,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,FLOTADOR PARA MODULO DE BOMBA GM MU110,139.42
373,39215C,,,FLOTADOR,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,FLOTADOR PARA MODULO DE BOMBA GM MU112,133.01
374,39216C,,,FLOTADOR,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,FLOTADOR PARA MODULO DE BOMBA GM MU126,154.49
375,39217C,,,FLOTADOR,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,FLOTADOR PARA MODULO DE BOMBA GM MU128 MU177 MU224,129.84
376,39218C,,,FLOTADOR,BOMBA DE GASOLINA,CHEVROLET,INJETECH,CIOSA,FLOTADOR PARA MODULO DE BOMBA GM MU181,107.62
377,08731C,,25060-F4200,FLOTADOR,BOMBA DE GASOLINA,NISSAN,INJETECH,CIOSA,FLOTADOR DE TANQUE DE GASOLINA PARA TSURU 2001 EN ADELANTE,693.06
378,36824C,10357,82207710357,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJEKTION,CIOSA, ATOS BY DODGE 1.0L 00-05 VERNA 1.5L%%% 1.6L 04-06,224.22
379,36825C,10356,82207710356,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJEKTION,CIOSA,CHEROKEE 97-01 GRAN CHEROKEE %%%WRANGLER 97-04 CIRRUS 97-00 ,234.08
380,37265C,12660,82207712660,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJEKTION,CIOSA,CARAVAN%%% VOYAGUER%%% TOWN & COUNTRY 96-03 NEON 96-05 STRATUS 96-02,388.9
381,36828C,8548,82207708548,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJEKTION,CIOSA, SHADOW%%% SPIRIT%%% LEBARON L4 2.2L 2.5L 91-95 CARAVAN 3.0L%%% 3.3L%%% 3.8L V6 91-95,235.33
382,36826C,10355,82207710355,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJEKTION,CIOSA,RAM PICK UP 3.9L%%% 5.2L%%% 5.9L 91-97 CON MODULO CARTER ,485.11
383,36827C,8246,82207708246,BOMBA-REPUESTO,BOMBA DE GASOLINA,CHRYSLER,INJEKTION,CIOSA,RAM PICK UP 3.9L%%% 5.2L%%% 5.9L 94-04 DAKOTA 2.5L 3.9L 91-02 DAKOTA 8 CIL 96-04 DURANGO 98-01 ,338.72
384,36834C,5042,2715FDBEC161,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA,PICK UP'S 96-00%%% VAN'S 97-03%%% EXPLORER 95-01%%% RANGER 98-01 GD MARQUIS 92-03,237.17
385,36835C,10360,82207710360,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA, F150-350 87-89%%% E150-350 L6%%% V8 87-91 BOMBA INTERNA,252.5
386,36832C,5047,2715FDBEC166,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA, ESCORT 87-90%%% AEROSTAR 86-89%%% RANGER 89-97 MAZDA SERIES B 94-97,278.76
387,36833C,5043,2715FDBEC162,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA,VAN'S 97-03%%% EXPLORER 99-03%%% RANGER 99-02 GD MARQUIS 97-01 KA 01-03 FIESTA 00-03,194.86
388,36837C,7132,82207707132,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA,FOCUS 00-04%%% COURIER%%%FIESTA IKON%%%MONDEO%%% ESCAPE 01-04%%%WINDSTAR 98-03%%%MUSTANG 98-04,252.59
389,36838C,10865,82207710865,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA,PICK UP LOBO 04-08 EXPLORER 04-09%%% ESCAPE 05-07 FREESTAR 04-05 FOCUS 02-04,225.23
390,36829C,5050,2715FDBEC480,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA,RANGER 85-88 SERIES F 85-89 SERIES E VAN 86-91 BOMBA EXTERNA,616.1
391,36831C,5046,2715FDBEC165,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA,COUGAR%%% THUNDERBIRD 89-97 Y  [SC] 85-88%%% WINDSTAR 95-97 MARQUIS 1992,279.77
392,36830C,10359,82207710359,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA,PICK UP F150-450 90-96%%%VAN E150-350 90-96%%% EXPLORER 4.0L 95-96 REP. PARA BOTE ,288.57
393,36836C,5048,2715FDBEC182,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA,BRONCO%%% F150-450%%% E150-350 89-96 P74107,568.79
394,36839C,13458,82207713458,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA,SERIES F 6 Y 8 CIL 90-97 TANQUE TRASERO DE ACERO,538.33
395,37261C,BECFD018,,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA,ECOSPORT 2.0L  04-09 %%% FIESTA%%% IKON 2.0L 03-09,257.96
396,37264C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,FORD,INJEKTION,CIOSA,RANGER 85-88 SERIES F 85-89 SERIES E VAN 86-91 EXTERNA/ROJA,600.95
397,36841C,6723,2715GMBEC190,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJEKTION,CIOSA,ASTRO%%% BLAZER%%% C1500-3500 L4%%% V6%%% V8  SISTEMA TBI 85-99; P74167,295.29
398,36840C,6725,2715GMBEC375,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJEKTION,CIOSA,PICK UPS  96-97%%% ASTRO%%%SAFARI%%%S10 4.3L  93-95  KODIAK 01-07 VORTEC SIST. DELPHI,317.27
399,36843C,5054,2715GMBEC171,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJEKTION,CIOSA,CENTURY%%% CAMARO V6 84-92%%% CAVALIER%%% CUTLASS%%%CELEBRITY V6 85-89 S10 2.2L 94-95,272.7
400,36842C,6728,2715GMBEC563,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJEKTION,CIOSA,SILVERADO V6%%%V8 98-03 SUBURBAN%%%YUKON  5.3L%%%6.0L 02-03 VORTEC SIST. DELPHI ,475.71
401,36845C,7398,82207707398,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJEKTION,CIOSA,CAVALIER 95-01%%% SUNFIRE%%% MALIBU%%%  97-01 PICK UP%%%SUBUBURBAN 97-02 RETORNO SIST. C/REGUL,329.43
402,37260C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJEKTION,CIOSA,AVALANCHE%%% ESCALADE%%% YUKON 8 CIL 04-09  SIST. BOSCH,398.95
403,36849C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJEKTION,CIOSA,ASTRA%%% CHEVY 00-05 CORSA 02-05 MONZA 01-03,276.5
404,37262C,13847,82207713847,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJEKTION,CIOSA, SILVERADO 1500%%% SIERRA 6 CIL Y 8 CIL 5.3L 04-07 SIST. DELPHI,866.29
405,36844C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJEKTION,CIOSA,SILVERADO%%% YUKON AVLANCHE 5.3L%%%6.0L.6.2L 04-07 SIST. DELPHI CON. OVALADO,498.67
406,36850C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,GM,INJEKTION,CIOSA,SATURN 4 CIL 1.9L 91-96,660.99
407,36846C,10363,82207710363,BOMBA-REPUESTO,BOMBA DE GASOLINA,HONDA,INJEKTION,CIOSA,ACCORD 95-01 CIVIC 92-00  PASSPORT 94-97 CR-V 97-99,234.91
408,36847C,10074,82207710074,BOMBA-REPUESTO,BOMBA DE GASOLINA,NISSAN,INJEKTION,CIOSA,SENTRA%%% MAXIMA 95-00 TSURU%%% TSUBAME 95-10 ALTIMA 96-00 FRONTIER 98-04 ,214.12
409,36848C,6731,2715NSBEC178,BOMBA-REPUESTO,BOMBA DE GASOLINA,NISSAN,INJEKTION,CIOSA,TSURU 1.6L 93-97 ALTIMA 2.4 93-96 MAXIMA 3.0L 91-94,349.46
410,37263C,BECNS010,,BOMBA-REPUESTO,BOMBA DE GASOLINA,NISSAN,INJEKTION,CIOSA, PICK UP D21 2.4L 88-95 D21 3.0L  6CIL 90-92/95-96,467.36
411,37259C,,,BOMBA-REPUESTO,BOMBA DE GASOLINA,TOYOTA,INJEKTION,CIOSA,HILUX 2.7L 97-05%%% YARIS 1.5L 06-10,264.67
412,36851C,5062,2715UNBEC185,BOMBA-REPUESTO,BOMBA DE GASOLINA,UNIVERSAL,INJEKTION,CIOSA,TIPO FILTRO 4%%%6%%%8 CIL VEHICULOS CARBURADOS,253.51
413,36853C,6735,2715VWBEC173,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW/AUDI/SEAT,INJEKTION,CIOSA,"JETTA A2 1.8L 85-92 PASSAT 90-93 EXTERNA 2"" DIAMETRO",517.36
414,36854C,6737,2715VWBEC175,BOMBA-REPUESTO,BOMBA DE GASOLINA,VW/AUDI/SEAT,INJEKTION,CIOSA,SEDAN 1.6L 93-03,616.1
