ID,NPC,CODIGO,ORIGINAL,TIPO DECOMPONENTE,TIPO DE COMPONENTE GENERAL,MARCA,MARCA REFACCION,PROVEEDOR,DESCRIPCION,PRECIODE LISTA
79,10266C,BEMFD009,82207710266,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,CONTOUR%%% MYSTIQUE 2.0L%%% 2.5L 95-96,1438.82
80,BEMFD012C,34373,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FIESTA IKON 1.3L%%% 1.6L 01-09 1S6U-9H307-AD,1275.47
81,BEMFD013C,34374,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA, ECOSPORT 2.0L 03-07 2N15-9H307-AA                        ,1160.05
82,BEMFD014C,37204,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150 V6 4.2L V8 4.6L 5.4L 04-08,1337.12
83,BEMFD015C,37205,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150 V6 4.2L V8 4.6L 5.4L 04-08 LINCOLN MARK LT V8 5.4L 06-08,1337.12
84,BEMFD016C,37312,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FIESTA IV IKON 1.3L 95-02  ,978.79
85,37648C,BEMFD017,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BRONCO EXPLORER ECONOLINE F150-250-350 90-96,1677.97
86,37649C,BEMFD018,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150-250-350 L6 V8 90-96   ,1705.48
87,37998C,BEMFD019,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150 F250 99-04 V6 V8 4.2-4.6-5.4L     ,1656.41
88,37999C,BEMFD020,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,MONDEO 1.8-2.0L 16V00-05,1416.36
89,38000C,BEMFD021,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,MONDEO 2.5L V6 24V 00-05,1383.55
90,38340C,BEMFD022,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150 V6 4.2L 03-09 NACIONALES CALIDAD OE,1495.68
91,38386C,BEMFD024,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,ESCAPE MERCURY MARINER 05-07   ,4397.93
92,38387C,BEMFD025,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,ESCORT 4CIL 2.0L 99-03         ,1319.23
93,38389C,BEMFD027,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150 MARK LT 4.2-4.6-5.4L 05-08,4300.73
94,38390C,BEMFD028,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F250 F350 F450 F550V8 V10 00-04,1538.95
95,38391C,BEMFD029,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FREESTAR 04-05 V6 3.9L 4.2L    ,1639.47
96,38392C,BEMFD030,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,WINDSTAR V6 3.0L 3.8L 97-98    ,1441.12
97,38393C,BEMFD031,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,WINDSTAR V6 3.0L 3.8L 99-00    ,1686.89
98,38394C,BEMFD032,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,WINDSTAR V6 3.8L 01-03         ,1593.74
99,39114C,BEMFD033,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,ESCAPE 4 CILINDROS 2.3L 2009-2012,2207.26
100,39115C,BEMFD034,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,ESCAPE 6 CILINDROS 3.0L 2009-2012,2505.7
101,39261C,BEMFD035,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,EXPLORER MONTAINEER 97-98 4.0L V6 5.0L V8,1525.88
102,40038C,BEMFD036,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FOCUS 2.0L 2002 UNA MANGUERA,1409.95
103,39903C,BEMFD037,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FOCUS%%% FOCUS C-MAX 03-10 MAZDA 3,1775.99
104,40128C,BEMFD038,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO RANGER 04-06 V4 2.3L V6 3L%%% 4L.,1525.99
105,40210C,BEMFD041,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO EXPLORER%%% MOUNTAINNER 4.0L 5.0L 99-01,1631.31
106,40211C,BEMFD0 - -,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO FOCUS 2.0L 09-11,2225.47
107,40389C,BEMFD043,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO FORD F-250 SUPER DUTY 11-13 V8-6.2L%%% F-350 SUPER DUTY 11-14 V8-6.2L,3137.26
108,40390C,BEMFD044,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO FORD F-150 11-13 V6-3.7L%%% 09-10 V8-4.6L%%% 11-13 V8-5.0L%%% 09-10 V8-5.4L,3026.3
109,40391C,BEMFD045,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA MODULO FORD F-150 11-13 V6-3.7L%%% 09-10 V8-4.6L%%% 11-13 V8-5.0L%%% 09-10 V8-5.4L%%% 11-13 V8-6.2L,3026.3
110,40035C,BEMFD0 - -,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,BOMBA ELECTRICA FORD EXPEDITION 5.4L 03-04,1439.67
111,10494C,BEMGM001,82207710494,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SILVERADO 1500%%% 2500%%% 3500%%% SS V6%%% V8 99-03%%%MU86,1165.23
112,13468C,BEMGM002,82207713468,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SILVERADO 4.3L 99-03%%% SILVERADO HD MOTORES VARIOS 99-03 SIN EVAP,1151.51
113,12962C,BEMGM003,82207712962,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,S10 BLAZER 98-05  S15 JIMMY%%% BRAVADA 4.3L 99-01 (4 PUERTAS),1367.2
114,13459C,BEMGM004,82207713459,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,S10 BLAZER%%% S15 JIMMY%%% BRAVADA 4.3L 97-98 (4 PUERTAS),1311.89
115,13461C,BEMGM005,82207713461,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,BLAZER%%% JIMMY%%% BRAVADA%%% 4.3L 1996,1341.14
116,08608C,BEMGM006,82207708608,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CHEVY POP%%% SWING%%% MONZA 1.6L 98-03,889.81
117,13469C,BEMGM007,82207713469,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,ASTRO VAN%%% SAFARI VAN 4.3L 97-99,1401.3
118,13466C,BEMGM008,82207713466,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,SILVERADO MOTORES VARIOS 6 Y 8 CIL. 97-00,1408.9
119,13460C,BEMGM009,82207713460,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,S10%%% SONOMA 4.3L%%% ISUZU HOMBRE 4.3L 97-02,1387.53
120,13472C,BEMGM010,82207713472,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TAHOE%%% YUKON 5.7L 96-97,1095.11
121,13465C,BEMGM011,82207713465,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,VAN SERIES G 6  CIL 98-01 Y 8 CIL 98-02 CON EVAP,1347.66
122,08239C,BEMGM012,82207708239,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CHEVY PICKUP 1.6L 00-04; 93320199 (COMPLETA),891.33
123,05058C,BEMGM013,2715GMBEC609,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CAVALIER%%% SUNFIRE 2.2L%%% 2.3L 1995,1582.77
124,13462C,BEMGM014,82207713462,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,S10%%% SONOMA 2.2L%%% ISUZU HOMBRE 2.2L 97-00,1387.53
125,13473C,BEMGM015,82207713473,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CAVALIER%%%SUNFIRE 2.2L%%% 2.4L 99-00 MALIBU 2.4L%%% 3.1L 98-99 GRAND AM 1999,1695.4
126,13471C,BEMGM016,82207713471,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,CAVALIER%%% SUNFIRE%%% GRAND AM 2.2L%%% 2.4L 96-98,1708.31
127,13470C,BEMGM017,82207713470,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,VENTURE%%%SILHOUETTE 3.4L 98-01 TRANSPORT 3.4L 99-01 MONTANA 1998,1362.37
128,13464C,BEMGM018,82207713464,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,VAN SERIES G 6 Y 8 CIL 97-02 SIN EVAP; E3966M,1061.36
129,13467C,BEMGM020,82207713467,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,GRAND PRIX 3.1L Y 3.8L 01-03 IMPALA 3.4 00-05,1566.06
130,13463C,BEMGM021,82207713463,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,GRAND PRIX 3.1L %%% 3.8L 98-00,1118.62
131,13936C,BEMGM022,82207713936,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,S10 BLAZER%%% S15 SONOMA 4.3L  1996(W%%%X),1237.98
132,13939C,BEMGM023,82207713939,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,VAN EXPRESS 5.7L%%% 7.4L 98-00 (TANQUE 35 GAL),1202.02
133,13943C,BEMGM024,82207713943,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,MALIBU 2.2L%%% 3.5L 04-06 MALIBU SS 3.9L 2006,2169.48
134,13937C,BEMGM025,82207713937,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,PICK UP 5.7L %%% 7.4L 98-00%%% 8.1L 01-02,1239.48
135,13938C,BEMGM026,82207713938,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,PICK UP 4.3L 99-04%%% 4.8L%%%5.3L%%%6.0L%%%8.0L 99-03 CONECTOR CUADRADO,1062.68
136,13941C,BEMGM028,82207713941,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TRAILBLAZER 4.2L 05-07 CAJA CORTA,1815.29
137,13942C,BEMGM029,82207713942,BOMBA-MODULO,BOMBA DE GASOLINA,GM,INJETECH,CIOSA,TRAILBLAZER 4.2L 05-06 CAJA LARGA,4779.4
