ID,NPC,CODIGO,ORIGINAL,AIRTEX,CARTER,KEM,WALBRO,PFP,DELPHI,STD,WELLS,TOMCO,TRANSPO,WAI,BOSCH,UNIPOINT,VALEO,INTERFIL,NUMERO,PRESENTACION,TIPO,SUB TIPO,EMBALAJE,OE / OTRO,TIPO DECOMPONENTE,TIPO DE COMPONENTE GENERAL,MARCA,MARCA REFACCION,PROVEEDOR,DESCRIPCION,PRECIODE LISTA
54,38378C,BEMCH060,,E7189M,P76095M,7656-E,TU163,,FE0416,,,,,,,,,,,,,,, | F00E193339 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 4CIL 2.4L 04-09 ,1652.5
55,38379C,BEMCH061,,E7195M,,,TU182,,,,,,,,,,,,,,,,, | F00E193949 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CARAVAN V6 3.3L 06-07   ,1945.74
56,38383C,BEMCH065,,E7197M,P76067M,7672-E,TU171,,FG0843,,,,,,,,,,,,,,, | F00E193381 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE COMMANDER 05-10 ,1976.7
57,38384C,BEMCH066,,E7199M,P76100M,7220-E,TU170,,FG0929,,,,,,,,,,,,,,, | F00E193377 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,LIBERTY 4CIL 2005 V6 3.7L 05-07,2098.97
58,38385C,BEMCH067,,E7200M,P76521M,7221-E,TU172,,FG0924,,,,,,,,,,,,,,, | F00E193385 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,WRANGLER 4-6CIL 2.4L 4.0L 05-06,1950.67
59,39002C,BEMCH069,,E7172M,P76061M,7637-E,TU160,,FG0482,,,,,,,,,,,,,,, | F00E192602 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"CARAVAN 2.4L, 3.3L Y 3.8L 04-07",1553.12
60,39203C,BEMCH070,,E7198M,P76484M,7226-E,TU175,,FG0925,,,,,,,,,,,,,,, | F00E193361 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DAKOTA 3.7L Y 4.7L 05-08,2035.01
61,39127C,BEMCH071,,E7184M,P76267M,7657-E,,,,,,,,,,,,,,,,,, | 67742 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"DURANGO 3.7L, 4.7L 5.7L 04-09 ASPEN 2007",2716.64
62,39310C,BEMCH073,,E7219M,P76491M,,,,FG0888,,,,,,,,,,,,,,,68004095AB |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NITRO LIBERTY 3.7L 07-11,2123.46
63,39340C,BEMCH074,,"E7234M, E7236M",P76537M,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"DURANGO 08-09, CHRYSLER ASPEN 08-09",1958.09
64,38960C,BEMCH076,,E7237M,,,,,,,,,,,,,,,,,,,,55398704AC |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM 1500 09-11,1905.79
65,39728C,BEMCH077,,E7180M,P76260M,,,,,,,,,,,,,,,,,,,FP22033 |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA, RAM 1500 4.7L FLEX FUEL,2593.97
66,39731C,BEMCH078,,E7162M,P76255M,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"JEEP LIBERTY 2002-2003 V6 3.7L, L4 2.4L",1619.13
67,39302C,BEMCH079,,E7252M,,,,,FG0889,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM 1500 V6 3.7L VIN K 09-11,4393.71
68,39879C,BEMCH080,,E7210M,P76509M,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"AVENGER 2.4L 08-13,  V6 2.7L 08-09, V6 3.5L 08-10 SEBRING 2.4L, 2.7L, 3.5L 07-10",1825.61
69,40067C,BEMCH081,,E7241M,P76270M,,,,FG1052,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,"BOMBA ELECTRICA (MODULO) CHARGER V6, V8 06-10 CHALLENGER 09-",2200.13
70,40209C,BEMCH082,,E7235M,"P76670M, P76703M",,,,,,,,,,,,,,,,,,,68030875AA |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,BOMBA MODULO TOWN & COUNTRY GRAND CARVAN 3.8L 4.0L 08-10 V,3670.45
71,39312C,BEMHY001,,,P90600,,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,ATOS 1.1 04-10,721.11
72,05048C,BEMFD001,2715FDBEC182,E2059MN,P74107,8505-E,TU200,P46B,FG0198,,,,,,,,,,,,,,, | 67000 | ,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,"BRONCO, F150-450, E150-350 89-96 P74107",635.77
73,13458C,BEMFD002,82207713458,E2064MN,P74108,8504-E,TU201,P45B,FG0199,,,,,,,,,,,,,,, | 67003 | ,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,SERIES F 6 Y 8 CIL 90-96 TANQUE TRASERO DE ACERO,590.85
74,05044C,BEMFD003,2715FDBEC163,E2101S,P74626H,8606-EF,,,,,,,,,,,,,,,,,, | 67032 | P235H,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,"TOPAZ, TEMPO, GHIA L4 V6 88-94;  P74626H",1094.64
75,07776C,BEMFD005,82207707776,E10547M,,E8237-E,,,,,,,,,,,,,,,,,, | 0986580402 | ,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FOCUS (DOHC) 2.0L 00-06 TAPA SUELTA E10547M,1030.88
76,12376C,BEMFD006,82207712376,,P75047M,8213-E,,,,,,,,,,,,,,,,,,1MSU9H307CA | 67172 | PFS448,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,FOCUS 00-04; 1MSU-9H307 TAPA FIJA1MSU-9H307-CA,938.84
77,11439C,BEMFD007,82207711439,E2291M,P74963M,8242-E,TU239,,,,,,,,,,,,,,,,,YL8Z9H307AA | F00E191719 | ,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,"ESCAPE, MAZDA TRIBUTE 2.0L Y 3.0L 01-04",1286.67
78,10265C,BEMFD008,82207710265,E2098S,P74651S,8707-EF,,,,,,,,,,,,,,,,,, | 67029 | ,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,"COUGAR, THUNDERBIRD 3.8L, 4.6L Y 5.0L 89-97",1127.65
79,10266C,BEMFD009,82207710266,E2117S,P74689S,8215-E,,,,,,,,,,,,,,,,,,,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,"CONTOUR, MYSTIQUE 2.0L, 2.5L 95-96",1438.82
80,BEMFD012C,34373,,,P90110,,,,,,,,,,,,,,,,,,,"1S6U9H307AD | 0580314006, 0580314011 | ",BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,"FIESTA IKON 1.3L, 1.6L 01-09 1S6U-9H307-AD",1275.47
81,BEMFD013C,34374,,,P90170,,,,,,,,,,,,,,,,,,,2N159H307AA | 580314022 | ,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA, ECOSPORT 2.0L 03-07 2N15-9H307-AA                        ,1160.05
82,BEMFD014C,37204,,E2436M,P76381M,,TU271,,FG0565,,,,,,,,,,,,,,, | F00E193519 | P2584S,BOMBA-MODULO,BOMBA DE GASOLINA,FORD,INJETECH,CIOSA,F150 V6 4.2L V8 4.6L 5.4L 04-08,1337.12
