ID,NPC,CODIGO,ORIGINAL,AIRTEX,CARTER,KEM,WALBRO,PFP,DELPHI,STD,WELLS,TOMCO,TRANSPO,WAI,BOSCH,UNIPOINT,VALEO,INTERFIL,NUMERO,PRESENTACION,TIPO,SUB TIPO,EMBALAJE,OE / OTRO,TIPO DECOMPONENTE,TIPO DE COMPONENTE GENERAL,MARCA,MARCA REFACCION,PROVEEDOR,DESCRIPCION,PRECIODE LISTA,PRECIO DE COMPRA,,,,A                    0%,B                    10%,C                   15%,D                    17.55%,E                    18.4%,F                    19.25%,G                    23.5%,PRECIO PROMOCION,PRECIO PROMOCION,CONDICION DE COMPRA
37,07142C,BEMCH038,82207707142,E7101M,P74707M,7665-E,TU118,,FG0230,,,,,,,,,,,,,,, | 67648 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,INTREPID%%% CONCORDE 3.3L%%% 3.5L 96-97,1204.66,987.8212,869.282656,782.3543904,782.3543904,1564.708781,1408.237903,1330.002464,1290.10239,1276.802365,1263.50234,1197.002217,,,
38,07392C,BEMCH039,82207707392,E7121MN,P75040M,7669-E,,,,,,,,,,,,,,,,,, | 67658 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CHEROKEE 2.5L%%% 4.0L 97-01 ,1613.15,1322.783,1164.04904,1047.644136,1047.644136,2095.288272,1885.759445,1780.995031,1727.56518,1709.75523,1691.94528,1602.895528,,,
39,13919C,BEMCH040,82207713919,E7055M,P74663M,7666-E,TU129,,FG0222,,,,,,,,,,,,,,, | F00E190609 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE 4.0L %%% 5.2L 92-94,1237.62,1014.8484,893.066592,803.7599328,803.7599328,1607.519866,1446.767879,1366.391886,1325.400129,1311.73621,1298.072291,1229.752697,,,
40,13921C,BEMCH041,82207713921,E7141M,P75025M,7695-E,TU146,,FG0420,,,,,,,,,,,,,,, | F00E192191 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,STRATUS%%% SEBRING 2.4L%%% 2.7L 01-02,1910.99,1567.0118,1378.970384,1241.073346,1241.073346,2482.146691,2233.932022,2109.824688,2046.529947,2025.4317,2004.333453,1898.842219,,,
41,13922C,BEMCH042,82207713922,E7143M,P75024M,7655-E,TU148,,FG0373 ,,,,,,,,,,,,,,, | F00E192197 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 2.4L 01-04; PT CRUISER 2.4 TURBO 03-04,1398.26,1146.5732,1008.984416,908.0859744,908.0859744,1816.171949,1634.554754,1543.746156,1497.433772,1481.99631,1466.558849,1389.371541,,,
42,13924C,BEMCH044,82207713924,E7161M,P75028M,7215-E,TU151,,FG0423,,,,,,,,,,,,,,, | F00E192624 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,R1500 3.7L Y 4.7L 02-03 (26 GAL),1862.32,1527.1024,1343.850112,1209.465101,1209.465101,2418.930202,2177.037181,2056.090671,1994.407951,1973.847045,1953.286138,1850.481604,,,
43,13925C,BEMCH045,82207713925,E7144M,P75026M,7636-E,TU153,,FG0425,,,,,,,,,,,,,,, | F00E192195 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,VOYAGER [GRAND]%%% CARAVAN%%% TOWN & COUNTRY 2.4L%%% 3.0L%%% 3.3L%%% 3.8L 01-03,1401.41,1149.1562,1011.257456,910.1317104,910.1317104,1820.263421,1638.237079,1547.223908,1500.80719,1485.334951,1469.862712,1392.501517,,,
44,13926C,BEMCH046,82207713926,E7142M,P75027M,7012-E,TU154,,FG0426,,,,,,,,,,,,,,, | F00E192203 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON 2.0L%%% 2.4L 01-05,1615.41,1324.6362,1165.679856,1049.11187,1049.11187,2098.223741,1888.401367,1783.49018,1729.985474,1712.150572,1694.315671,1605.141162,,,
45,13927C,BEMCH047,82207713927,E7167M,P75032M,7696-E,TU155,,FG0427,,,,,,,,,,,,,,, | F00E192594 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,STRATUS 2.4L 03-06%%% CIRRUS 2.4L Y 2.7L 03-06,2164.47,1774.8654,1561.881552,1405.693397,1405.693397,2811.386794,2530.248114,2389.678775,2317.988411,2294.091624,2270.194836,2150.710897,,,
46,13928C,BEMCH048,82207713928,E7050M,P74654M,7225-E,TU157,,FG0206,,,,,,,,,,,,,,, | F00E190089 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,DAKOTA 2.5L 91-96 V6%%%V8 91-93 (C/M CARTER),1360.34,1115.4788,981.621344,883.4592096,883.4592096,1766.918419,1590.226577,1501.880656,1456.824237,1441.80543,1426.786624,1351.692591,,,
47,13929C,BEMCH049,82207713929,E7142M,P76227M,7013-E,TU158,,FG0430,,,,,,,,,,,,,,, | F00E193353 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,NEON 2.4L TURBO 03-05 SRT-4,1559.6,1278.872,1125.40736,1012.866624,1012.866624,2025.733248,1823.159923,1721.873261,1670.217063,1652.99833,1635.779598,1549.685935,,,
48,13934C,BEMCH051,82207713934,E7191M,P76096M,7655-E,TU173,,,,,,,,,,,,,,,,, | F00E193309 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 2.4L TURBO 03-04,1262.95,1035.619,911.34472,820.210248,820.210248,1640.420496,1476.378446,1394.357422,1352.526699,1338.583125,1324.639551,1254.921679,,,
49,13935C,BEMCH052,82207713935,E7223M,P76222M,7637-E,TU176,,FG0510,,,,,,,,,,,,,,, | F00E193359 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CARAVAN%%% GRAND CARAVAN 3.3L 04-07 FLEX FUEL,2372.73,1945.6386,1712.161968,1540.945771,1540.945771,3081.891542,2773.702388,2619.607811,2541.019577,2514.823499,2488.62742,2357.64703,,,
50,14440C,BEMCH053,82207714440,E7165M,P76259M,7218-E,,,FG0474,,,,,,,,,,,,,,, | 67715 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,SERIE RAM 3.7L%%% 4.7L 04-07 R1500 5.7L 04-08 R2500 5.7L 06-09 R3500 5.7L 08-09,1527.74,1252.7468,1102.417184,992.1754656,992.1754656,1984.350931,1785.915838,1686.698292,1636.097343,1619.23036,1602.363377,1518.028462,,,
51,BEMCH054C,34372,,E7127MN,P75041M,7668-E,,,FE0393,,,,,,,,,,,,,,, | 67662 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE 4.0L 4.7L 99-04,1264.79,1037.1278,912.672464,821.4052176,821.4052176,1642.810435,1478.529392,1396.38887,1354.497204,1340.533315,1326.569426,1256.749983,,,
52,37373C,BEMCH057,,E7186M,P76259M,,,,FG0817,,,,,,,,,,,,,,,5104694AB |  | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,RAM 1500 2500 3.7L & 5.7L 26 GAL 04-06    ,2550.99,2091.8118,1840.794384,1656.714946,1656.714946,3313.429891,2982.086902,2816.415408,2731.922945,2703.758791,2675.594637,2534.773867,,,
53,38377C,BEMCH059,,E7190M,P76097M,7658-E,TU162,,FG0927,,,,,,,,,,,,,,, | F00E193337 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 4CIL 2.4L 04-09 ,1514.46,1241.8572,1092.834336,983.5509024,983.5509024,1967.101805,1770.391624,1672.036534,1621.875438,1605.155073,1588.434707,1504.832881,,,
54,38378C,BEMCH060,,E7189M,P76095M,7656-E,TU163,,FE0416,,,,,,,,,,,,,,, | F00E193339 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,PT CRUISER 4CIL 2.4L 04-09 ,1652.5,1355.05,1192.444,1073.1996,1073.1996,2146.3992,1931.75928,1824.43932,1769.70614,1751.461747,1733.217354,1641.995388,,,
55,38379C,BEMCH061,,E7195M,,,TU182,,,,,,,,,,,,,,,,, | F00E193949 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CARAVAN V6 3.3L 06-07   ,1945.74,1595.5068,1404.045984,1263.641386,1263.641386,2527.282771,2274.554494,2148.190356,2083.744645,2062.262741,2040.780838,1933.37132,,,
56,38383C,BEMCH065,,E7197M,P76067M,7672-E,TU171,,FG0843,,,,,,,,,,,,,,, | F00E193381 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,GRAND CHEROKEE COMMANDER 05-10 ,1976.7,1620.894,1426.38672,1283.748048,1283.748048,2567.496096,2310.746486,2182.371682,2116.900531,2095.076814,2073.253098,1964.134513,,,
57,38384C,BEMCH066,,E7199M,P76100M,7220-E,TU170,,FG0929,,,,,,,,,,,,,,, | F00E193377 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,LIBERTY 4CIL 2005 V6 3.7L 05-07,2098.97,1721.1554,1514.616752,1363.155077,1363.155077,2726.310154,2453.679138,2317.363631,2247.842722,2224.669085,2201.495449,2085.627268,,,
58,38385C,BEMCH067,,E7200M,P76521M,7221-E,TU172,,FG0924,,,,,,,,,,,,,,, | F00E193385 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,WRANGLER 4-6CIL 2.4L 4.0L 05-06,1950.67,1599.5494,1407.603472,1266.843125,1266.843125,2533.68625,2280.317625,2153.633312,2089.024313,2067.48798,2045.951647,1938.269981,,,
59,39002C,BEMCH069,,E7172M,P76061M,7637-E,TU160,,FG0482,,,,,,,,,,,,,,, | F00E192602 | ,BOMBA-MODULO,BOMBA DE GASOLINA,CHRYSLER,INJETECH,CIOSA,CARAVAN 2.4L%%% 3.3L Y 3.8L 04-07,1553.12,1273.5584,1120.731392,1008.658253,1008.658253,2017.316506,1815.584855,1714.71903,1663.277459,1646.130269,1628.983078,1543.247127,,,
